description,comment,coordinates,user_id,loc_nic,observe_on,,LATITUDE,LONGITUDE,coordinates
,"River is usually low here at this time as they open the dam to help the water escape from above ( it's very narrow where the train bridge crosses below Arnprior) Now, the river level is higher than normal and the water is flowing fast.�Cormorants and seagulls are common sights as are Canada Geese (with babies). A beaver was on the shore a few weeks ago.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.453019, -76.281552)",1,Ottawa River,2014-05-14T04:00:00Z,,45.453019,-76.281552,45.453019-76.281552
,"river calm, but still not up to regular summer levels.  Beautiful day to be on the river!","RGeo::Geographic.spherical_factory(srid: 4326).point(45.452919, -76.281552)",1,Ottawa River,2014-06-23T04:00:00Z,,45.452919,-76.281552,45.452919-76.281552
,"river was calm and we did get a little sprinkle while we were testing.  Children enjoyed ""doing science""","RGeo::Geographic.spherical_factory(srid: 4326).point(45.452819, -76.281552)",1,Ottawa River,2014-07-20T04:00:00Z,,45.452819,-76.281552,45.452819-76.281552
,river was calm after a beautiful sunny day. We had a lot of rain last week (Thurs/Fri) 6 pm,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452719, -76.281552)",1,Ottawa River,2014-08-24T04:00:00Z,,45.452719,-76.281552,45.452719-76.281552
,Off the most northerly point of Vydon Acres peninsula; �Up stream from the train bridge,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452619, -76.289663)",1,Ottawa River,2013-06-30T04:00:00Z,,45.452619,-76.289663,45.452619-76.289663
,testing done at same spot as Gail and Lorne did last time - but I don`t have those coordinates (my GPS needed batteries). �Anchor was totally snarled in fishing line when we brought it up. �Fishing Line broke before we could bring it all up.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452519, -76.289663)",1,Ottawa River,2013-07-21T04:00:00Z,,45.452519,-76.289663,45.452519-76.289663
,Very little current�,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452419, -76.289663)",1,Ottawa River,2013-08-24T04:00:00Z,,45.452419,-76.289663,45.452419-76.289663
,Strong wind for the past 24 hours,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452319, -76.289663)",1,Ottawa River,2013-09-14T04:00:00Z,,45.452319,-76.289663,45.452319-76.289663
,The river is moving very fast and the water level is very high for this time of year.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452219, -76.289663)",1,Ottawa River,2014-05-24T04:00:00Z,,45.452219,-76.289663,45.452219-76.289663
,Moderate current above the Chat Falls Dam.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452119, -76.289663)",1,Ottawa River,2014-06-22T04:00:00Z,,45.452119,-76.289663,45.452119-76.289663
,Minimal current as the head pond of the Chat Falls is full. �It rained over night.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.452019, -76.289663)",1,Ottawa River,2014-07-20T04:00:00Z,,45.452019,-76.289663,45.452019-76.289663
,"The site is about 100 meters down stream of the dam at the junction of the Snye and Mississippi River.The water flow on the Snye is greater this year as a result of OPG lowering the inlet in the dam. �The Snye is a small tributary, with significant plant growth along both shores.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.432531, -76.266768)",1,Mississippi River,2013-08-25T04:00:00Z,,45.432531,-76.266768,45.432531-76.266768
,"Sorry forgot to record the water and air temperature. �This body of water is very protected and is not affected by the strong wind this day.The site is about 100 meters down stream of the dam at the junction of the Snye and Mississippi River.The water flow on the Snye continuous to be greater this year as a result of OPG lowering the inlet in the dam, and a new neighbour works for ON Hydro and ensures the flow of the dam is always good. �The Snye is a small tributary, with significant plant growth along both shores.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.432431, -76.266768)",1,Mississippi River,2013-09-14T04:00:00Z,,45.432431,-76.266768,45.432431-76.266768
,"The Snye is quite calm, there is no noticeable current. �The water level is up but not very high. �The flow from the small dam is limited. �The water is quite clear.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.432331, -76.266768)",1,Mississippi River,2014-05-24T04:00:00Z,,45.432331,-76.266768,45.432331-76.266768
,"No current, pollen on the surface, there was lots of water plant growth. Average water level.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.432231, -76.266768)",1,Mississippi River,2014-06-22T04:00:00Z,,45.432231,-76.266768,45.432231-76.266768
,"It rained 1 inch overnight. �Water level slightly above average, no current. �Floating blobs of dark green algae, about the size of a fist, they broke up very easily. �Lots of water plant growth.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.432131, -76.266768)",1,Mississippi River,2014-07-20T04:00:00Z,,45.432131,-76.266768,45.432131-76.266768
,Water level is normal.  There was heavy rain in the past 48 hours.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.432031, -76.266768)",1,Mississippi River,2014-08-23T04:00:00Z,,45.432031,-76.266768,45.432031-76.266768
,"Dissolved oxygen taken from YSI. �Nitrate/Nitrite may be mixed up. �Check with Meredith for values. �Water color brown, rain came and we didn`t do phosphorus.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.577774, -75.102172)",1,Ottawa River,2013-08-04T04:00:00Z,,45.577774,-75.102172,45.577774-75.102172
,Weather data not recorded. �Taken from www.friendlyforecast.com for Rockland Ontario.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.557749, -75.299604)",1,Ottawa River,2013-07-13T04:00:00Z,,45.557749,-75.299604,45.557749-75.299604
,"Measurement taken at the ferry dock/launch in Thurso, QC by Peter Levick.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.587261, -75.242138)",1,Ottawa River,2013-07-26T04:00:00Z,,45.587261,-75.242138,45.587261-75.242138
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.587161, -75.242138)",1,Ottawa River,2013-08-24T04:00:00Z,,45.587161,-75.242138,45.587161-75.242138
,"Treadwell, ON boat launch. �Sampled by Peter Levick. �","RGeo::Geographic.spherical_factory(srid: 4326).point(45.598061, -75.011964)",1,Ottawa River,2013-07-20T04:00:00Z,,45.598061,-75.011964,45.598061-75.011964
,"Water sample taken during training by Meaghan, Peter and John at the dock in Wendover, ON.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.574706, -75.12794)",1,Ottawa River,2013-07-10T04:00:00Z,,45.574706,-75.12794,45.574706-75.12794
,"Sampling by Peter Levick at Wendover, ON boat launch.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.574606, -75.12794)",1,Ottawa River,2013-07-20T04:00:00Z,,45.574606,-75.12794,45.574606-75.12794
,Very turbid water near shoreline- water was brown in appearance. �,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506923, -75.496542)",1,Ottawa River,2013-06-29T04:00:00Z,,45.506923,-75.496542,45.506923-75.496542
,Very turbid water near shoreline- water was brown in appearance. �Very windy day and huge waves with white caps.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506823, -75.496542)",1,Ottawa River,2013-07-19T04:00:00Z,,45.506823,-75.496542,45.506823-75.496542
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506723, -75.496542)",1,Ottawa River,2013-09-14T04:00:00Z,,45.506723,-75.496542,45.506723-75.496542
,strong current,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506623, -75.496542)",1,Ottawa River,2014-05-26T04:00:00Z,,45.506623,-75.496542,45.506623-75.496542
,light winds,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506523, -75.496542)",1,Ottawa River,2014-06-22T04:00:00Z,,45.506523,-75.496542,45.506523-75.496542
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.506423, -75.496542)",1,Ottawa River,2014-08-26T04:00:00Z,,45.506423,-75.496542,45.506423-75.496542
,"













: Muskrat Bay O2 is lower than main river channel","RGeo::Geographic.spherical_factory(srid: 4326).point(45.499286, -75.499387)",1,Ottawa River,2013-08-25T04:00:00Z,,45.499286,-75.499387,45.499286-75.499387
,"very windy, wind from west. Water very wavy so took sample from canal that flows into river","RGeo::Geographic.spherical_factory(srid: 4326).point(45.516053, -76.453488)",1,Other Tributary,2013-09-06T04:00:00Z,,45.516053,-76.453488,45.516053-76.453488
,"Upstream of Lighthouse island (with large colony of gulls).� Light wind <10 kmh WNW.� Lots of rain in the last week.(Latitude:� 45.507249, Longitude:� -76.480122)","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2013-06-30T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"heavy rain Friday afternoon, possible microburst.Weather at testing time very windy and white caps on main channel where tested.Investigators: Deb Powell, Jennifer Haughton, Peter HaughtonSite - upstream of Lighthouse Island","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2013-07-20T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2013-08-25T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,Actual water sample taken at 10:45 due to filming.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2013-09-14T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2014-06-21T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"water looked more turbid than usual, gentle breeze, very few boats out despite beautiful weather","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2014-06-21T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"gentle breeze, saw only one other boat","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2014-07-20T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"seagulls seem to have disappeared from Lighthouse ""Seagull"" Island. (our testing location is just upstream from this island). Very quiet on the water- saw only one other boat.","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2014-08-23T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"lots of foamy bubbles on surface of river, result of wind action?  There were whitecaps","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507248, -76.480125)",1,Ottawa River,2014-09-19T04:00:00Z,,45.507248,-76.480125,45.507248-76.480125
,"secchi angle 0, warm southern breeze, light wind cloudy, water was 8 feet deep","RGeo::Geographic.spherical_factory(srid: 4326).point(45.502902, -76.415592)",1,Ottawa River,2014-08-29T04:00:00Z,,45.502902,-76.415592,45.502902-76.415592
,"Very calm, little if any wind, took measurements off the pier.  Two motor boats out, no smells, water level very high still (slightly lower than highest peak for spring)","RGeo::Geographic.spherical_factory(srid: 4326).point(45.516015, -76.429325)",1,Ottawa River,2014-05-25T04:00:00Z,,45.516015,-76.429325,45.516015-76.429325
,observation site- water about 1 foot deep at mouth of creek. Did not do temperature nor secchi depth.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.516602, -76.449997)",1,Other Tributary,2013-08-12T04:00:00Z,,45.516602,-76.449997,45.516602-76.449997
,thick tall weeds in large area at mouth of creek - not able to actually get to mouth.  Creek runs through a lot of agricultural lands,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.516602, -76.449997)",1,Other Tributary,2014-09-03T04:00:00Z,,45.516602,-76.449997,45.516602-76.449997
,Sample taken from creek using a bucket. No Secchi depth could be taken. Hasn`t rained for nearly a week. Silver Creek has a large watershed through agricultural land and flows into the Ottawa River upstream from Norway Bay.�,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.523523, -76.446126)",1,Other Tributary,2013-09-28T04:00:00Z,,45.523523,-76.446126,45.523523-76.446126
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.638599, -76.687477)",1,Ottawa River,2013-09-14T04:00:00Z,,45.638599,-76.687477,45.638599-76.687477
,water warmer due to shallow area,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.638599, -76.687477)",1,Ottawa River,2014-06-22T04:00:00Z,,45.638599,-76.687477,45.638599-76.687477
,angle secchi 30,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.638599, -76.687477)",1,Ottawa River,2014-07-19T04:00:00Z,,45.638599,-76.687477,45.638599-76.687477
,Just upstream of hydro buoy,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.570618, -76.665802)",1,Ottawa River,2013-09-14T04:00:00Z,,45.570618,-76.665802,45.570618-76.665802
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.627102, -76.670784)",1,Ottawa River,2013-09-14T04:00:00Z,,45.627102,-76.670784,45.627102-76.670784
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.627102, -76.670784)",1,Ottawa River,2014-06-22T04:00:00Z,,45.627102,-76.670784,45.627102-76.670784
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.627102, -76.670784)",1,Ottawa River,2014-07-19T04:00:00Z,,45.627102,-76.670784,45.627102-76.670784
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.627102, -76.670784)",1,Ottawa River,2014-08-23T04:00:00Z,,45.627102,-76.670784,45.627102-76.670784
,Water very murky.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.514038, -76.223009)",1,Quyon River,2013-09-14T04:00:00Z,,45.514038,-76.223009,45.514038-76.223009
,"light north west winds, no debris, 40 min. row, 2 PWC seen","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2013-06-30T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"moderate east wind, excess of white mucus materialin water, weeds higher than normal, no algae clumps but my son saw the algae at Norway Bay wharf on July 20th","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2013-07-21T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,moderate north west wind. Water clear and boat traffic nil. The weeds near shore are higher than previous years.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2013-08-23T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2013-10-01T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"south east wind, water clear, no wildlife","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2013-11-05T05:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"No wind. Cloudy.

water - murky

seagulls heard from island

one motorboat heard.

No debris in water","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2014-05-25T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,weather -�� no wind & clear. No boat traffic. Water clear with no debris or dead fish,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2014-06-21T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"cloudy, showers, east wind. Water murky nitrate 0 - 5","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2014-07-20T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"south east wind, water clear, no toxic organisms","RGeo::Geographic.spherical_factory(srid: 4326).point(45.503442, -76.465446)",1,Ottawa River,2014-08-23T04:00:00Z,,45.503442,-76.465446,45.503442-76.465446
,"Despite being downstream of island of seagulls, readings ok?","RGeo::Geographic.spherical_factory(srid: 4326).point(45.507008, -76.477219)",1,Ottawa River,2013-07-12T04:00:00Z,,45.507008,-76.477219,45.507008-76.477219
,Water was 4-5 feet low. �Slight rain for 3 days. �Nights cool 12-16 c,"RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2013-06-29T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,"This was the end of an extreme hot, humid week with little wind. �The last 3 days saw extreme storms, winds and showers. �No sign of algae blooms or strings since was has been brought back to normal. �Had forgotten the date and when coming up to the dam remembered. �Took sample with 4 liter water jug- No Frills- figured temperature would hold until we got back home.","RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2013-07-19T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,"Water almost at max elevation (down 6""). �Another light algae bloom (seems to occur after a day of heavy winds/rain or both). �Nights cool +10 C.","RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2013-08-24T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,Light algae bloom after 1.5 inches of rain the day/night previous,"RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2013-09-11T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,"very murky, excessive runofférain and spring flows from clay plains, 2:45 pm","RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2014-06-15T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2014-07-29T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(46.553665, -78.993126)",1,Ottawa River,2014-08-27T04:00:00Z,,46.553665,-78.993126,46.553665-78.993126
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.395258, -75.772018)",1,Ottawa River,2013-09-14T04:00:00Z,,45.395258,-75.772018,45.395258-75.772018
,"Secchi 0 degrees, Water level a bit higher than usual; quite a bit of floating debris","RGeo::Geographic.spherical_factory(srid: 4326).point(45.395258, -75.772018)",1,Ottawa River,2014-05-24T04:00:00Z,,45.395258,-75.772018,45.395258-75.772018
,"water clear and bird feathers, 3:15 pm","RGeo::Geographic.spherical_factory(srid: 4326).point(45.395258, -75.772018)",1,Ottawa River,2014-06-22T04:00:00Z,,45.395258,-75.772018,45.395258-75.772018
,It was a beautiful day on the water. Two Wilderness Tour rafts went by as we headed back to shore.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.395258, -75.772018)",1,Ottawa River,2014-07-21T04:00:00Z,,45.395258,-75.772018,45.395258-75.772018
,"high waves, no way to get secchi reading","RGeo::Geographic.spherical_factory(srid: 4326).point(45.395258, -75.772018)",1,Ottawa River,2014-09-22T04:00:00Z,,45.395258,-75.772018,45.395258-75.772018
,,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2013-06-30T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,Calm. Depth 26.6 feet mid channel.,"RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2013-07-21T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"Calm water,low wind.Depth 25-30 ft (guess) �mid channel","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2013-08-24T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"Windy,sunny. Depth 36.5 ft mid channel","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2013-09-14T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"light wind, depth 30 ft","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2014-06-21T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"wind 20 KPH, depth 28 ft","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2014-07-19T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"Light wind ~ 10 KPH, depth 26 ft","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2014-08-23T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"depth 22.4 ft, wind 12 km/h","RGeo::Geographic.spherical_factory(srid: 4326).point(45.824444, -76.911667)",1,Ottawa River,2014-09-24T04:00:00Z,,45.824444,-76.911667,45.824444-76.911667
,"depth 22.4 ft, wind 12 km/h",,1,Ottawa River,2014-09-24T04:00:00Z,,45.4245700854,-75.6588506699,
